transaction_id,event_timestamp,card_id,customer_id,card_tier,merchant_name,merchant_category,merchant_city,merchant_country,amount,currency,channel,entry_mode,device_id,home_city,home_country,scenario_label,prev_event_timestamp,prev_city,prev_country,prev_device_id,prev_channel,minutes_since_prev,txn_count_15m,merchant_repeat_10m,device_seen_24h,avg_prior_amount,amount_rank_today,city_jump_flag,velocity_flag,amount_spike_flag,merchant_burst_flag,late_night_flag,cross_border_flag,device_change_flag,channel_switch_flag,fraud_type,triggered_rules,rule_count,risk_score
44326068-e3dd-47f1-89cf-770edd31a197,2026-04-09 08:05:24.709284+00:00,4111-XXXX-XXXX-1037,CUST-10037,business,MarketSquare,Marketplace,San Francisco,USA,44.25,USD,online,ecommerce,device-9107,New York,USA,account_takeover,2026-04-09T08:01:24.709284+00:00,New York,USA,device-5106,online,4.0,2,1,1,853.27,19,1,0,0,0,0,0,1,0,Device takeover risk,"Different cities within 1 hour, New device used shortly after previous activity",2,73
48a31e59-956d-4019-a44a-564348179ebd,2026-04-09 08:01:24.709284+00:00,4111-XXXX-XXXX-1037,CUST-10037,business,AeroStay,Hospitality,New York,USA,3078.56,USD,online,card_present,device-5106,New York,USA,amount_spike,2026-04-09T07:25:24.709284+00:00,Chicago,USA,device-7358,online,36.0,1,1,1,551.91,2,1,0,1,0,0,0,0,0,High-value spend anomaly,"Different cities within 1 hour, Amount > 3x recent baseline",2,75
2796bcd5-8f54-4a0a-b07a-81036f578f01,2026-04-09 07:25:24.709284+00:00,4111-XXXX-XXXX-1037,CUST-10037,business,NovaFuel,Fuel,Chicago,USA,59.19,USD,online,ecommerce,device-7358,New York,USA,account_takeover,2026-04-09T07:19:24.709284+00:00,New York,USA,device-1291,online,6.0,2,1,1,574.97,18,1,0,0,0,0,0,1,0,Device takeover risk,"Different cities within 1 hour, New device used shortly after previous activity",2,73
2c2d9969-4b5e-48e2-ac4b-c4309008946b,2026-04-09 06:33:00.708256+00:00,4111-XXXX-XXXX-1003,CUST-10003,standard,MarketSquare,Marketplace,Toronto,Canada,35.2,USD,swipe,ecommerce,device-9562,Toronto,Canada,high_velocity,2026-04-09T06:31:36.708256+00:00,Toronto,Canada,device-9562,tap,1.4,3,2,3,85.94,17,0,0,0,0,0,0,0,1,Off-hours spend,Rapid switch between channels,1,21
a113628f-3a01-4303-9fea-0824859546fd,2026-04-09 06:31:36.708256+00:00,4111-XXXX-XXXX-1003,CUST-10003,standard,MarketSquare,Marketplace,Toronto,Canada,12.24,USD,tap,ecommerce,device-9562,Toronto,Canada,high_velocity,2026-04-09T06:29:24.708256+00:00,Miami,USA,device-9562,swipe,2.2,2,1,2,96.81,19,1,0,0,0,0,0,0,1,Off-hours spend,"Different cities within 1 hour, Rapid switch between channels",2,66
2d2756f9-3145-4e2d-8aec-30c1f0ea4f00,2026-04-09 06:29:24.708256+00:00,4111-XXXX-XXXX-1003,CUST-10003,standard,NovaFuel,Fuel,Miami,USA,80.14,USD,swipe,manual_keyed,device-9562,Toronto,Canada,normal,2026-04-09T05:39:24.708256+00:00,Toronto,Canada,device-7362,online,50.0,1,1,1,96.83,12,1,0,0,0,0,1,0,0,Impossible cross-border travel,"Different cities within 1 hour, Spend occurred outside home country",2,59
f5b14d06-bc49-41f4-9dd8-e15cd81bcadb,2026-04-09 06:14:12.708110+00:00,4111-XXXX-XXXX-1001,CUST-10001,business,Cloud9 Travel,Travel,Toronto,Canada,40.5,USD,chip,ecommerce,device-9818,San Francisco,USA,normal,2026-04-09T05:24:12.708110+00:00,San Francisco,USA,device-7146,swipe,50.0,1,1,1,64.54,13,1,0,0,0,0,1,0,0,Impossible cross-border travel,"Different cities within 1 hour, Spend occurred outside home country",2,59
39951ae3-6e63-481e-aaed-882a49c2d052,2026-04-09 06:01:53.709144+00:00,4111-XXXX-XXXX-1032,CUST-10032,business,AeroStay,Hospitality,San Francisco,USA,4497.95,USD,tap,card_present,device-2935,San Francisco,USA,amount_spike,2026-04-09T05:35:53.709144+00:00,San Francisco,USA,device-4924,chip,26.0,1,1,1,95.16,1,0,0,1,0,0,0,0,0,High-value spend anomaly,Amount > 3x recent baseline,1,40
5c61aef5-cb47-4af2-8c54-252c9d8e6df0,2026-04-09 05:58:24.709284+00:00,4111-XXXX-XXXX-1037,CUST-10037,business,Night Owl Bar,Entertainment,New York,USA,4314.33,USD,swipe,wallet_token,device-4947,New York,USA,amount_spike,2026-04-09T05:34:24.709284+00:00,New York,USA,device-2640,chip,24.0,1,1,1,277.46,1,0,0,1,0,0,0,0,0,High-value spend anomaly,Amount > 3x recent baseline,1,40
71a13524-cf84-4a81-a08a-06dfa288d664,2026-04-09 05:56:12.710252+00:00,4111-XXXX-XXXX-1072,CUST-10072,standard,QuickTap,Digital Wallet,Austin,USA,30.2,USD,swipe,manual_keyed,device-5452,San Francisco,USA,impossible_travel,2026-04-09T05:33:12.710252+00:00,San Francisco,USA,device-7825,online,23.0,1,1,1,271.2,11,1,0,0,0,0,0,0,0,Off-hours spend,Different cities within 1 hour,1,47
